ID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
10002,1722.6836,326.2327,1722.7869,337.75375,1734.1371,346.9546,1702.9982,347.88614,1739.0397,338.269,1713.8735,343.64807,1715.4252,355.46735,1701.4949,318.25125,1717.0647,339.6648,1734.5852,357.8293,1742.0443,377.24057,1718.5671,338.201,1721.7073,349.39474,1726.6959,371.59818,1729.5854,397.6431,1739.058,362.80908,1727.0742,363.4974,1712.3665,351.6986,1731.9452,357.0459,1716.9349,376.59894,1717.2487,363.72775,1735.7172,339.02377,1720.8004,343.73193,1750.4459,358.07983,1739.8229,359.49203,1726.0641,360.98666,1763.54,366.50412,1738.2491,370.0302,1759.909,349.76154,1742.9536,379.61926
10015,733.59845,1274.009,690.2563,1235.1833,726.3274,1230.6832,737.8393,1213.237,728.86206,1214.2943,725.8964,1235.3557,722.7369,1205.2411,734.81805,1218.5991,785.67645,1227.8358,710.0017,1224.2083,697.51715,1209.7316,749.1609,1214.9185,730.25635,1216.6775,715.5879,1212.9208,715.4141,1227.5466,740.5397,1223.1987,711.5256,1216.616,733.15454,1211.4922,731.97424,1218.2251,723.1411,1233.116,735.93335,1228.5879,719.50244,1262.8422,730.3624,1220.0634,727.3887,1223.4745,667.6149,1234.6667,724.6218,1222.0233,720.7341,1218.7816,760.15576,1211.0669,719.1928,1226.144,724.9918,1207.5101
10019,575.4242,1251.0691,571.3125,1245.3717,605.2946,1230.2864,584.5048,1237.7445,574.58307,1239.8091,590.81934,1248.7882,570.76373,1236.8478,592.3065,1230.2987,579.0994,1251.9806,569.74615,1249.1823,588.88983,1236.5455,582.43567,1229.7158,550.65,1219.4489,574.25635,1277.5681,577.48047,1306.1147,580.70953,1229.5885,591.3271,1270.7811,579.38727,1244.9314,565.5562,1229.1553,565.40936,1223.636,550.16003,1224.4617,580.1727,1239.1993,566.61884,1235.4023,567.0882,1243.9882,604.7258,1246.5925,580.744,1240.9993,593.5654,1226.7373,590.13995,1261.7662,575.7365,1255.5629,571.147,1255.7224
10028,1699.4497,321.9855,1688.8854,298.2285,1685.4431,299.61945,1720.5464,304.18967,1710.1068,316.22202,1696.1888,336.7577,1709.6079,302.71567,1680.3813,357.75058,1694.5775,317.71747,1708.0693,326.77023,1725.2217,335.98788,1711.904,309.8736,1703.1592,305.418,1701.6866,339.07928,1723.8323,319.9372,1703.9878,332.7077,1671.0111,348.63138,1697.5798,314.7013,1713.2578,309.15576,1699.0038,338.0412,1706.1287,314.93918,1673.8867,312.78534,1714.611,335.06747,1640.4163,330.2032,1699.3218,330.8974,1662.924,309.16507,1711.8599,316.625,1721.1958,312.5102,1689.0337,326.63693,1716.5645,366.63452
1003,2093.113,666.16034,2125.3835,676.67957,2107.4885,684.18896,2147.1309,683.6439,2122.0427,669.84875,2126.9265,696.03735,2087.4458,683.46826,2125.5693,665.0087,2124.8345,695.0495,2081.6443,658.0874,2129.9075,662.0168,2071.239,654.36066,2109.4443,668.82196,2125.28,628.8901,2073.3076,643.60046,2064.228,670.0317,2147.8306,661.25507,2085.5205,648.7307,2096.2979,701.63055,2096.6794,675.69055,2096.606,658.2405,2087.003,630.9555,2093.3535,661.97394,2111.3232,670.43945,2074.4785,653.6046,2077.7922,655.8615,2099.7932,633.5793,2085.3672,682.0182,2094.4636,661.7639,2057.687,649.62683
10069,1904.2854,478.7656,1905.309,490.7562,1917.5736,500.17142,1883.2252,504.45938,1921.1611,488.4096,1893.9044,496.61533,1896.6156,508.42545,1878.1837,468.7763,1896.219,493.87302,1916.5023,512.4055,1922.1154,532.2297,1897.7413,489.63367,1898.1458,497.46646,1906.0425,529.8265,1909.3928,557.9254,1919.5323,515.44763,1908.4989,518.09607,1892.8739,505.3896,1912.018,509.6425,1894.5656,528.8188,1894.5837,514.2494,1915.9695,486.85184,1898.0011,492.4213,1930.7024,509.1714,1922.7654,512.73303,1905.3229,514.9868,1945.707,519.0652,1921.362,523.7207,1941.8197,501.406,1921.1732,533.051
10075,411.47168,1046.8025,396.4228,1035.8774,438.22604,1034.4191,426.7373,1040.4049,427.54172,1033.2378,423.8271,1049.4152,418.69577,1027.0715,439.8306,1032.368,421.22955,1045.8284,426.5738,1034.2362,421.35504,1038.3444,423.29462,1025.8059,387.83704,1011.61035,417.65497,1063.9327,414.97073,1083.5372,424.29413,1030.1626,432.57474,1059.2667,411.784,1036.3961,397.2948,1018.43195,414.66467,1016.27216,397.86884,1007.091,427.39328,1040.9218,413.97095,1044.0001,415.11234,1036.1008,435.84436,1037.7411,437.73294,1032.4756,430.34485,1021.87537,426.95557,1050.1433,433.12082,1046.0314,415.90698,1034.5958
10078,186.03172,1510.1875,174.01636,1532.5342,188.22203,1472.5167,175.73906,1533.5177,229.10876,1504.9819,182.71423,1502.8588,178.0745,1531.1765,178.58107,1485.97,202.97125,1486.2719,207.3689,1514.0928,192.06235,1574.545,188.71384,1547.4158,200.74686,1526.6587,167.93324,1511.1534,210.66972,1514.842,190.31055,1513.8558,194.42648,1512.1573,192.69095,1558.3208,220.31445,1523.9685,140.53987,1534.0608,204.55713,1527.4553,190.85045,1507.5812,186.62128,1519.0421,210.40298,1506.2705,218.86629,1509.5392,203.9712,1543.0256,179.00975,1528.011,182.15535,1522.8245,185.41656,1539.1309,216.43681,1519.7341
10082,1728.7174,349.4762,1719.48,345.21255,1724.9037,336.08484,1735.3496,338.3771,1724.757,345.5922,1728.8495,357.26382,1731.8135,347.51147,1725.6251,368.76187,1723.0658,349.3056,1723.3782,350.6603,1742.0917,357.0095,1740.8514,351.19168,1737.8071,353.00067,1734.5735,356.91595,1740.0908,351.7403,1744.1764,354.85342,1730.9384,368.8034,1737.3292,358.84863,1737.1638,354.00122,1738.0538,361.28827,1743.3885,356.81927,1736.3135,361.07364,1750.5404,377.2544,1726.9198,357.96692,1750.147,368.12378,1736.0355,365.62628,1744.5934,368.9795,1752.5912,369.2435,1744.698,376.91602,1762.2915,382.0728
10095,742.052,1537.2208,777.11957,1541.564,718.4471,1545.9434,695.7899,1556.4819,778.8442,1554.1898,739.9255,1537.8354,766.8466,1575.2074,691.3892,1573.2635,713.8228,1534.0999,724.2044,1550.8737,727.1887,1532.3551,723.5157,1527.3765,736.7372,1567.3873,731.9739,1537.9994,759.49805,1500.6365,671.4457,1510.0305,750.597,1531.7444,740.8894,1529.7217,715.0973,1516.8606,727.9672,1549.2908,692.25024,1530.5497,725.6214,1517.3312,689.52966,1497.9797,782.4542,1515.4508,745.5521,1498.9976,703.41943,1557.6387,734.71484,1537.8367,691.93585,1533.4363,726.77875,1512.513,727.14276,1524.8542
