ID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
10002,1693.8436,499.5539,1693.1769,500.153,1692.9995,499.98364,1693.9431,498.7792,1694.1636,499.1376,1694.8918,498.95587,1698.9269,502.33618,1699.5303,501.89978,1698.2919,503.0295,1701.8787,503.32034,1700.7205,506.4415,1701.1149,503.6422,1701.3029,507.33032,1701.3545,506.2356,1704.274,508.8988,1703.8923,509.90054,1703.7749,511.08463,1704.7194,509.1065,1706.0477,513.1838,1707.9233,511.9766,1709.885,512.7238,1707.8136,511.4807,1709.6919,514.9005,1709.7628,513.68884,1711.5563,515.1995,1710.6345,516.80566,1713.2596,519.2488,1711.143,517.4925,1711.1965,517.88495,1714.5657,518.3771
10015,735.08624,1273.246,735.6436,1273.1396,735.5379,1273.6772,735.66266,1272.7614,735.0087,1273.1405,735.32886,1273.0177,735.0386,1273.3823,735.5713,1272.8691,735.1021,1273.4683,735.2722,1273.4481,735.09674,1273.2255,735.35675,1273.2234,735.3853,1273.1471,735.4604,1272.8445,735.6908,1272.5902,735.2582,1272.6094,735.0992,1272.9879,735.4216,1273.0187,735.3503,1273.0577,735.0419,1272.5608,735.2818,1272.9413,735.53345,1272.5868,735.5069,1273.096,734.9263,1273.1111,735.08813,1273.3883,735.3059,1272.5376,734.9121,1273.339,735.1822,1273.5764,734.8427,1272.8019,735.10333,1272.8105
10019,593.464,1278.576,593.38727,1278.12,593.0889,1277.9429,593.1107,1277.736,592.86505,1277.58,592.7959,1277.4347,592.7452,1277.1921,592.6192,1277.0762,592.4056,1276.8942,592.33905,1276.6406,592.2204,1276.5092,592.0383,1276.2623,591.95197,1276.0206,591.8337,1275.811,591.76306,1275.5969,591.6591,1275.6287,591.4464,1275.3539,591.0994,1275.0789,591.188,1275.0743,591.1054,1274.7747,591.1691,1274.6189,590.7733,1274.2603,590.69073,1274.2588,590.56354,1273.9852,590.44257,1273.77,590.30304,1273.4574,590.15076,1273.482,590.0574,1273.3308,589.9743,1272.9658,590.03503,1272.8347
10028,1662.2731,500.88422,1662.5641,501.0136,1663.5586,500.1038,1664.7524,500.90146,1664.9135,501.84937,1664.642,501.01523,1666.0555,501.20706,1665.0778,502.94965,1666.6389,503.6299,1667.5798,503.67743,1667.4937,502.07877,1667.7491,503.0598,1667.7125,502.4305,1667.1523,505.68573,1668.9697,504.79742,1669.8419,506.40582,1670.5682,503.31622,1670.392,505.37656,1671.7742,504.5061,1670.5085,506.67188,1672.7363,505.7422,1673.6976,506.77945,1672.3362,508.42087,1673.4634,506.68738,1674.8033,506.28235,1674.9629,508.0968,1675.2345,506.27417,1674.8668,507.9533,1676.7085,509.32474,1675.9733,509.1577
1003,2105.8699,678.76,2104.8513,678.78845,2105.2925,678.08527,2104.9087,679.02594,2104.7834,677.47644,2104.4194,677.25726,2104.4863,676.1604,2103.3071,676.0747,2103.8372,675.64276,2103.0898,675.5727,2102.9253,675.4608,2102.496,676.0868,2101.885,675.2112,2102.3943,673.58105,2101.6787,673.09717,2101.5767,674.6817,2100.3518,673.6469,2100.7676,673.25604,2101.0835,672.7222,2099.7131,673.3189,2099.6187,671.68604,2099.4854,671.62775,2099.853,672.34564,2098.739,671.37915,2098.081,671.32635,2098.355,671.31256,2098.1553,670.5593,2097.7393,669.25995,2097.9993,670.23114,2097.5012,669.1819
10069,1885.1996,590.7246,1884.9417,591.3833,1884.1753,591.20215,1886.2047,590.8227,1885.6279,591.52075,1886.5377,591.52844,1889.0085,593.8249,1890.0499,593.9726,1889.6512,594.71313,1891.3729,595.4365,1890.9741,597.78784,1891.1628,596.7064,1891.0151,599.3391,1891.6381,598.3304,1893.8752,600.6527,1893.8077,601.08466,1893.7313,602.43665,1894.4867,601.00635,1895.8853,604.2034,1896.7946,603.34796,1898.13,604.39355,1897.703,603.47546,1898.8915,606.73254,1898.6627,605.8679,1899.567,607.60077,1899.686,608.4253,1901.6968,609.8444,1899.9246,609.04974,1900.2727,609.98956,1902.9414,610.5548
10075,370.07034,1032.3616,370.313,1032.2,370.19583,1032.2366,370.27856,1032.1466,370.28748,1032.339,370.3457,1032.2513,370.29617,1032.2725,370.4475,1032.2401,370.4013,1032.0956,370.45175,1032.1096,370.41376,1032.152,370.37778,1032.1049,370.44104,1032.085,370.48383,1032.0269,370.48517,1032.0978,370.64133,1032.1888,370.55402,1032.1183,370.35904,1031.9869,370.46945,1032.0242,370.63174,1032.0,370.58386,1032.0269,370.53442,1031.9827,370.37393,1032.0961,370.44812,1032.0325,370.4948,1031.8823,370.63452,1031.7875,370.3864,1031.8441,370.54324,1031.9093,370.7385,1031.7903,370.7416,1031.798
10078,195.47807,1548.2322,195.02397,1548.5166,195.13843,1548.3826,195.12065,1548.6746,195.48749,1548.9207,195.59631,1548.8801,195.2562,1548.9949,195.64838,1549.307,195.38356,1549.214,195.3214,1549.6357,195.26,1549.3232,195.71585,1549.6072,195.83337,1549.583,195.53505,1549.7162,195.58894,1549.6357,195.68173,1549.6693,195.9039,1550.0234,195.7337,1550.2352,196.22551,1550.2205,196.20508,1550.1083,195.96803,1550.0437,195.87787,1550.2845,196.13132,1550.6768,196.11569,1550.5355,196.2819,1550.5577,196.45605,1550.861,196.72896,1550.8047,196.10301,1551.4364,196.02898,1551.187,196.28638,1550.9138
10082,1644.5428,464.7601,1647.0085,466.3481,1646.9275,468.7363,1645.8749,468.1637,1647.3835,469.18692,1647.303,470.29688,1648.7013,469.2522,1648.2543,471.6659,1647.0746,472.22153,1649.3528,472.9417,1649.8328,473.32742,1651.2249,473.3761,1652.4688,476.24356,1651.9904,475.49994,1652.7019,477.3103,1651.6665,478.14633,1652.0981,479.70486,1654.9211,480.61636,1653.8448,480.39203,1656.4884,479.88538,1655.3866,483.4806,1655.4937,482.87833,1655.9613,483.58456,1657.7499,486.50272,1658.4108,485.51135,1658.3427,486.56445,1660.0297,487.26523,1659.8021,487.77646,1661.2975,491.1191,1661.1333,488.19537
10095,733.85364,1565.2789,734.46326,1565.9912,734.29877,1566.0616,734.6132,1565.951,734.6021,1565.3745,734.36633,1565.7874,735.0007,1565.3531,734.9007,1565.4795,735.14355,1565.4294,735.874,1566.0347,735.6863,1565.6195,735.1235,1565.74,735.44556,1564.9456,735.4875,1565.0868,735.52576,1565.4708,734.98334,1565.4211,734.94104,1564.9213,735.3289,1565.0781,734.86316,1565.5585,736.1069,1565.1182,735.64233,1565.3843,736.06964,1565.1129,735.68164,1564.6119,735.8497,1564.8583,736.0109,1564.772,735.7788,1565.4686,735.82996,1564.9402,736.45593,1564.7699,736.2035,1565.1089,736.5939,1565.2695
10096,719.65393,1083.3281,719.36414,1083.3406,719.27844,1083.2594,719.28107,1083.3123,719.4455,1083.6221,719.2726,1083.4443,719.29755,1083.5322,718.97,1083.475,719.0732,1083.688,719.37415,1083.5316,718.94073,1083.7579,719.1525,1083.6849,718.9957,1083.7722,718.89886,1083.636,718.899,1083.7678,718.6949,1083.7158,718.8508,1083.9628,718.8491,1083.7151,718.8304,1083.7887,718.5429,1083.6656,718.5194,1083.4879,718.6492,1083.8373,718.5202,1083.7817,718.63385,1083.772,718.41266,1083.7925,718.29095,1083.6686,718.21814,1083.9133,718.13275,1083.9685,718.05096,1083.8247,718.2071,1083.935
10116,580.41516,1305.1533,581.1125,1305.9662,580.8879,1306.0062,581.19403,1305.8698,581.09955,1305.2479,580.89465,1305.7472,581.57477,1305.2858,581.45935,1305.4434,581.6353,1305.399,582.4592,1306.0552,582.3066,1305.5575,581.6114,1305.694,581.99005,1304.7946,582.027,1305.0062,582.0754,1305.419,581.4961,1305.3564,581.3807,1304.8378,581.7714,1304.9575,581.28735,1305.5288,582.6242,1304.9922,582.15356,1305.3708,582.5404,1305.0083,582.1699,1304.4978,582.27576,1304.6904,582.4518,1304.6309,582.215,1305.4551,582.22266,1304.8429,582.97235,1304.6086,582.70087,1305.0128,583.11005,1305.205
